"region","tdate","country","discharging_port","delivery_mode","customer_name","customer_group","category","pid","pallets","branding","total_volume","volume_per_container","incoterm","status1","Status2","payment_terms","payment_terms_days","price","estimated_freight","estimated_fob","sales_order","od","supplier","transporter","inspection","shipping_line","shipped_via","loading_date_at_plant","quantity_removed_from_the_site","stuffing_date","real_freight","real_fob","blno","sequence_date","transit_time","bldate","net_quantity","clearance_date","userComment","type_tc","port_loading","freight_invoice","freight_invoice2","freight_invoice3","days_of_storage","storage_cost","days_of_storage2","storage_cost2","days_of_storage3","storage_cost3","jours_half","jours_1","jours_2","jours_3","ac_status","contract_id","contract_status","invoice","Payment_status"
"Local Market","2022-03-01","Thailand","LAGOS","Container","CPF (Thailand) Public Company Limited","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","90","730","25","37","1843","218","IPSEN","GAMMA","Inspectorate","MAERSK","MAERSK","2022-05-17","1320","2022-04-27","0","36","1236876312","0000-00-00","60","2022-09-23","100","2022-06-23","","20'","TANGER","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Draft","18732","Paid\"
"Africa","2022-10-04","Nigeria","LAGOS","Container","GREEFOS","GREEFOS","DCP","0","1 pallet per BB","Phosfeed","440","20","CIF","Delivery in progress","CONFIRMED","Cable bank transfer","90","690","0","40","1435","219","IPSEN","MAERSK","Inspectorate","HAPAG LLOYD","CMA CGM","2022-08-17","110","2022-08-29","33","40","1236876312","2022-06-18","15","0000-00-00","4434","2022-06-23","","20'","TANGER","137986.14","2280.23","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19423","Paid\"
"Africa","2022-10-05","Argentina","BUENOS AIRES","Vessel","ALF AMMAR","CP Group","MCP","0","1 pallet per BB","Neutre","440","22","CIF","Finalized","CONFIRMED","L/C","15","690","20","0","1743","220","SVN","SEALAND","Inspectorate","SEALAND","HAPAG LLOYD","2022-05-17","484","2022-08-29","19","0","237739812","2022-09-18","25","0000-00-00","4434","2022-12-25","","40' Dry","CASABLANCA","116","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1443","Draft","18668","Paid\"
"Americas","2022-03-01","Morocco","LAT KRABANG","Truck","CPF (Thailand) Public Company Limited","GREEFOS","MCP","0","1 pallet per 2 BB","Phosfeed","550","20","CIF","Delivery in progress","CONFIRMED","L/C","45","730","20","0","1772","221","IPSEN","HAPAG LLOYD","Inspectorate","CMA CGM","MAERSK","2022-11-18","110","2022-05-29","19","33","0","2022-06-18","0","2022-06-23","100","0000-00-00","","40' Dry","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1443","Signed OCP","18732","Paid\"
"Americas","2022-04-02","Nigeria","LAT KRABANG","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MDCP","0","1 pallet per BB","Phosfeed","440","20","CFR","Deal concluded","CONFIRMED","CAD","45","730","20","37","1843","222","IPSEN","SEALAND","Inspectorate","SEALAND","HAPAG LLOYD","2022-08-17","605","2022-05-29","40","40","0","2022-05-17","0","2022-09-23","4434","2022-06-23","","20'","TANGER","0","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Asia","2022-10-04","Thailand","LAT KRABANG","Truck","GREEFOS","Vial/Vitafort","DCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Delivery in progress","CONFIRMED","L/C","15","690","0","0","1743","223","ONCF","CMA CGM","Inspectorate","MAERSK","MAERSK","2022-11-19","4840","2022-08-29","33","40","1236876312","0000-00-00","60","2022-05-22","440","2022-12-25","","20'","CASABLANCA","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1443","Signed Customer","18452","Paid\"
"Americas","2022-04-02","Argentina","LAGOS","Container","Vial/Vitafort","CP Group","MDCP","0","1 pallet per BB","Phosfeed","1200","25","CIF","Deal concluded","CONFIRMED","Cable bank transfer","90","730","20","37","1634","224","ONCF","HAPAG LLOYD","Inspectorate","MAERSK","MAERSK","2022-11-18","605","0000-00-00","0","36","0","0000-00-00","30","2022-09-23","440","2022-09-23","","","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","19423","Paid\"
"Asia","2022-10-04","Argentina","LAGOS","Container","CPF (Thailand) Public Company Limited","CP Group","MCP","0","1 pallet per 2 BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","L/C","60","610","0","40","1743","225","SVN","CMA CGM","Inspectorate","MAERSK","SEALAND","2022-11-18","484","2022-08-29","40","40","0","0000-00-00","25","2022-09-23","440","0000-00-00","","20'","JORF LASFAR","0","0","0","2","0","0","0","0","0","0","1","0","0","Sent","1982","Signed Customer","18452","Not Paid\"
"Europe","2022-03-01","Nigeria","","Container","GREEFOS","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","4400","22","CFR","Invoiced","CONFIRMED","Cable bank transfer","90","730","25","0","1743","226","ONCF","SEALAND","Inspectorate","SEALAND","CMA CGM","2022-11-19","4840","2022-11-30","33","0","0","0000-00-00","60","2022-12-25","440","0000-00-00","","20'","","137986.14","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","18668","Paid\"
"Europe","2022-04-02","Greece","THESSALONIKI","Truck","CPF (Thailand) Public Company Limited","Vial/Vitafort","MDCP","0","1 pallet per BB","Phosfeed","1200","22","CFR","Finalized","CONFIRMED","Cable bank transfer","0","740","30","37","1772","227","IPSEN","MAERSK","Inspectorate","SEALAND","CMA CGM","2022-08-17","484","0000-00-00","0","38","0","2022-05-17","30","0000-00-00","440","2022-05-22","","40' Dry","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","18452","Paid\"
"Europe","2022-07-03","Thailand","","Container","ESIFAR","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","1200","22","CFR","Finalized","CONFIRMED","Cable bank transfer","90","690","25","37","1843","228","SVN","GAMMA","Inspectorate","CMA CGM","MAERSK","2022-11-18","484","2022-11-30","27","0","0","0000-00-00","15","2022-05-22","100","2022-06-23","","20'","TANGER","119178.58","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1982","Signed Customer","18452","Paid\"
"Americas","2022-07-03","Greece","LAT KRABANG","Truck","Vial/Vitafort","ESIFAR","MCP","0","1 pallet per 2 BB","Phosfeed","440","20","CFR","Deal concluded","CONFIRMED","D/A","90","780","25","40","1634","229","SVN","SEALAND","Inspectorate","SEALAND","SEALAND","2022-08-17","605","2022-11-30","27","38","0","2022-05-17","30","0000-00-00","4434","2022-12-25","","20'","CASABLANCA","0","2280.23","0","0","0","0","0","0","0","0","1","0","0","Sent","1398","Signed OCP","19423","Paid\"
"Local Market","2022-10-04","Nigeria","LAGOS","Truck","Vial/Vitafort","CP Group","MDCP","0","1 pallet per BB","Phosfeed","100","25","EXW","Delivery in progress","CONFIRMED","D/A","90","730","20","0","1435","230","IPSEN","CMA CGM","Inspectorate","SEALAND","MAERSK","2022-08-17","1320","0000-00-00","33","33","0","0000-00-00","60","2022-06-23","440","2022-09-23","","40' Dry","","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Draft","18452","Paid\"
"Asia","2022-07-03","Nigeria","LAT KRABANG","Container","ESIFAR","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CIF","Delivery in progress","CONFIRMED","CAD","0","730","44","37","1435","231","ONCF","SEALAND","Inspectorate","BDP","MAERSK","2022-11-18","110","2022-11-30","27","0","0","2022-12-20","25","2022-09-23","440","2022-06-23","","40' Dry","TANGER","137986.14","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Africa","2022-10-04","Morocco","BUENOS AIRES","Truck","ESIFAR","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","1200","20","EXW","Deal concluded","CONFIRMED","D/A","15","780","20","37","1772","232","IPSEN","CMA CGM","Inspectorate","CMA CGM","SEALAND","2022-11-19","1320","2022-08-29","0","36","0","2022-09-18","15","0000-00-00","4434","0000-00-00","","40' Dry","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Not Paid\"
"Africa","2022-04-02","Nigeria","BUENOS AIRES","Truck","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per BB","Neutre","1200","25","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","45","780","25","37","1843","233","SVN","CMA CGM","Inspectorate","MAERSK","MAERSK","2022-11-18","484","0000-00-00","27","40","0","2022-06-18","0","2022-05-22","550","2022-05-22","","","TANGER","116","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19423","Paid\"
"Local Market","2022-10-05","Nigeria","LAT KRABANG","Vessel","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per 2 BB","Phosfeed","100","20","CFR","Invoiced","CONFIRMED","Cable bank transfer","45","690","25","40","1843","234","IPSEN","SEALAND","Inspectorate","CMA CGM","CMA CGM","2022-05-17","4840","2022-04-27","40","33","0","2022-06-18","0","2022-09-23","550","2022-05-22","","20'","","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","19423","Not Paid\"
"Americas","2022-03-01","Thailand","LAGOS","Container","ESIFAR","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Delivery in progress","CONFIRMED","CAD","45","610","0","35","1634","235","ONCF","SEALAND","Inspectorate","SEALAND","SEALAND","2022-08-17","605","0000-00-00","40","38","1236876312","2022-05-17","25","2022-12-25","100","0000-00-00","","20'","JORF LASFAR","0","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1398","Draft","19423","Paid\"
"Local Market","2022-04-02","Thailand","","Truck","ALF AMMAR","GREEFOS","DCP","0","1 pallet per 2 BB","Phosfeed","440","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","610","25","35","1772","236","SVN","HAPAG LLOYD","Inspectorate","BDP","MAERSK","2022-11-18","1320","2022-11-30","0","0","0","2022-09-18","25","2022-09-23","100","2022-06-23","","40' Dry","CASABLANCA","119178.58","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Africa","2022-07-03","Greece","LAT KRABANG","Container","GREEFOS","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","4400","22","EXW","Deal concluded","CONFIRMED","CAD","15","610","20","35","1772","237","IPSEN","MAERSK","Inspectorate","BDP","SEALAND","2022-08-17","4840","2022-04-27","33","0","0","2022-06-18","15","0000-00-00","550","2022-05-22","","20'","JORF LASFAR","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1982","Signed Customer","18732","Paid\"
"Americas","2022-10-04","Argentina","","Vessel","ALF AMMAR","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","550","20","EXW","Finalized","CONFIRMED","D/A","0","740","25","37","1435","238","SVN","SEALAND","Inspectorate","HAPAG LLOYD","SEALAND","2022-04-15","1320","2022-08-29","27","38","237739812","2022-06-18","30","2022-05-22","550","2022-05-22","","","TANGER","0","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Draft","18668","Paid\"
"Americas","2022-07-03","Nigeria","LAT KRABANG","Vessel","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per BB","Phosfeed","1200","25","EXW","Invoiced","CONFIRMED","L/C","90","690","25","40","1743","239","ONCF","SEALAND","Inspectorate","MAERSK","SEALAND","2022-11-18","605","2022-04-27","0","0","1236876312","0000-00-00","60","0000-00-00","1200","2022-09-23","","","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","18732","Paid\"
"Local Market","2022-10-05","Greece","","Container","ALF AMMAR","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","D/A","15","730","44","37","1634","240","ONCF","MAERSK","Inspectorate","CMA CGM","MAERSK","2022-05-17","110","0000-00-00","40","33","1236876312","0000-00-00","25","2022-06-23","4434","2022-05-22","","","TANGER","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1383","Signed OCP","19832","Not Paid\"
"Americas","2022-04-02","Greece","BUENOS AIRES","Truck","ALF AMMAR","ALF AMMAR","MCP","0","1 pallet per BB","Phosfeed","100","20","CFR","Finalized","CONFIRMED","D/A","60","730","0","0","1843","241","ONCF","SEALAND","Inspectorate","MAERSK","MAERSK","2022-11-18","1320","2022-04-27","19","40","0","2022-05-17","15","2022-06-23","100","0000-00-00","","20'","CASABLANCA","0","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","19832","Not Paid\"
"Europe","2022-03-01","Morocco","THESSALONIKI","Container","ALF AMMAR","ALF AMMAR","DCP","0","1 pallet per BB","Phosfeed","550","20","CIF","Invoiced","CONFIRMED","D/A","90","780","25","40","1843","242","SVN","SEALAND","Inspectorate","SEALAND","SEALAND","2022-11-19","110","2022-05-29","33","33","0","0000-00-00","15","2022-12-25","1200","2022-12-25","","","CASABLANCA","0","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Asia","2022-10-04","Nigeria","THESSALONIKI","Vessel","ALF AMMAR","CP Group","MDCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","15","780","20","37","1634","243","IPSEN","HAPAG LLOYD","Inspectorate","HAPAG LLOYD","CMA CGM","2022-08-17","605","2022-11-30","19","40","237739812","0000-00-00","25","2022-09-23","1200","2022-09-23","","20'","","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Draft","19832","Not Paid\"
"Africa","2022-10-05","Thailand","THESSALONIKI","Vessel","ALF AMMAR","ESIFAR","MDCP","0","1 pallet per BB","Neutre","100","22","EXW","Deal concluded","CONFIRMED","Cable bank transfer","45","690","44","37","1743","244","IPSEN","GAMMA","Inspectorate","CMA CGM","HAPAG LLOYD","2022-04-15","605","2022-08-29","40","33","1236876312","2022-09-18","0","2022-09-23","4434","2022-09-23","","40' Dry","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Draft","19832","Not Paid\"
"Africa","2022-03-01","Greece","LAGOS","Vessel","CPF (Thailand) Public Company Limited","Vial/Vitafort","DCP","0","1 pallet per BB","Phosfeed","100","22","EXW","Invoiced","CONFIRMED","Cable bank transfer","90","740","30","0","1772","245","IPSEN","HAPAG LLOYD","Inspectorate","BDP","MAERSK","2022-11-18","1320","2022-05-29","40","36","0","2022-12-20","25","2022-06-23","550","2022-06-23","","40' Dry","JORF LASFAR","116","0","0","0","0","0","0","0","0","3","1","0","0","Sent","1383","Signed Customer","19423","Paid\"
"Europe","2022-03-01","Nigeria","THESSALONIKI","Container","CPF (Thailand) Public Company Limited","GREEFOS","DCP","0","1 pallet per BB","Neutre","4400","20","CFR","Delivery in progress","CONFIRMED","CAD","60","780","44","37","1634","246","SVN","CMA CGM","Inspectorate","MAERSK","CMA CGM","2022-08-17","484","2022-04-27","0","0","0","2022-12-20","60","2022-09-23","1200","2022-12-25","","40' Dry","CASABLANCA","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","19832","Paid\"
"Asia","2022-07-03","Nigeria","","Container","CPF (Thailand) Public Company Limited","ESIFAR","MDCP","0","1 pallet per BB","Phosfeed","1200","22","EXW","Finalized","CONFIRMED","Cable bank transfer","45","730","20","40","1743","247","SVN","GAMMA","Inspectorate","SEALAND","MAERSK","2022-04-15","1320","0000-00-00","27","40","1236876312","2022-05-17","15","2022-12-25","550","0000-00-00","","20'","CASABLANCA","116","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1398","Signed Customer","18452","Paid\"
"Asia","2022-04-02","Argentina","THESSALONIKI","Container","ESIFAR","CP Group","DCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Invoiced","CONFIRMED","Cable bank transfer","60","780","44","0","1743","248","SVN","MAERSK","Inspectorate","CMA CGM","CMA CGM","2022-08-17","605","2022-04-27","0","33","0","2022-12-20","0","2022-12-25","4434","2022-06-23","","20'","TANGER","137986.14","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18452","Paid\"
"Europe","2022-07-03","Argentina","LAT KRABANG","Truck","ALF AMMAR","CP Group","MCP","0","1 pallet per BB","Phosfeed","4400","22","CIF","Deal concluded","CONFIRMED","L/C","0","730","44","37","1743","249","ONCF","MAERSK","Inspectorate","MAERSK","MAERSK","2022-08-17","4840","0000-00-00","27","33","1236876312","2022-09-18","0","2022-05-22","100","2022-12-25","","20'","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1443","Signed OCP","19423","Paid\"
"Americas","2022-10-04","Nigeria","THESSALONIKI","Vessel","CPF (Thailand) Public Company Limited","ALF AMMAR","DCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Delivery in progress","CONFIRMED","CAD","90","730","20","40","1743","250","IPSEN","MAERSK","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-04-15","110","2022-04-27","40","36","0","2022-09-18","30","2022-06-23","100","2022-09-23","","20'","CASABLANCA","119178.58","0","0","0","84.91","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","19832","Paid\"
"Africa","2022-10-05","Argentina","BUENOS AIRES","Container","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Delivery in progress","CONFIRMED","L/C","15","740","20","37","1634","251","IPSEN","CMA CGM","Inspectorate","SEALAND","MAERSK","2022-11-19","605","2022-08-29","0","36","0","2022-09-18","25","2022-05-22","4434","0000-00-00","","20'","","0","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Asia","2022-10-04","Greece","THESSALONIKI","Vessel","CPF (Thailand) Public Company Limited","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","690","30","37","1743","252","ONCF","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-08-17","1320","2022-04-27","40","40","0","2022-12-20","60","2022-05-22","100","2022-05-22","","20'","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Local Market","2022-04-02","Nigeria","LAT KRABANG","Container","GREEFOS","ALF AMMAR","MCP","0","1 pallet per 2 BB","Phosfeed","440","25","CIF","Delivery in progress","CONFIRMED","Cable bank transfer","0","730","0","40","1843","253","IPSEN","SEALAND","Inspectorate","BDP","CMA CGM","2022-05-17","4840","2022-08-29","33","33","1236876312","2022-09-18","15","0000-00-00","550","2022-09-23","","20'","CASABLANCA","137986.14","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","18732","Paid\"
"Europe","2022-03-01","Greece","BUENOS AIRES","Container","ESIFAR","Vial/Vitafort","MDCP","0","1 pallet per BB","Phosfeed","100","20","CIF","Invoiced","CONFIRMED","Cable bank transfer","15","690","20","40","1634","254","ONCF","SEALAND","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-05-17","110","0000-00-00","19","40","1236876312","2022-12-20","60","2022-06-23","100","2022-06-23","","20'","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Draft","18452","Paid\"
"Africa","2022-10-04","Argentina","","Container","ESIFAR","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","25","CFR","Deal concluded","CONFIRMED","D/A","45","690","20","35","1435","255","ONCF","SEALAND","Inspectorate","CMA CGM","SEALAND","2022-04-15","605","0000-00-00","40","40","1236876312","2022-12-20","15","2022-06-23","100","2022-05-22","","40' Dry","TANGER","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","19832","Not Paid\"
"Asia","2022-10-05","Argentina","LAGOS","Truck","ALF AMMAR","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","EXW","Deal concluded","CONFIRMED","D/A","15","740","25","35","1772","256","IPSEN","SEALAND","Inspectorate","HAPAG LLOYD","MAERSK","2022-04-15","484","2022-08-29","0","40","0","2022-12-20","0","2022-05-22","100","2022-05-22","","20'","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Not Paid\"
"Asia","2022-04-02","Thailand","LAT KRABANG","Container","ALF AMMAR","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","440","25","CFR","Invoiced","CONFIRMED","Cable bank transfer","60","610","30","35","1634","257","IPSEN","GAMMA","Inspectorate","MAERSK","CMA CGM","2022-04-15","4840","2022-11-30","27","40","0","0000-00-00","25","2022-12-25","1200","2022-06-23","","40' Dry","","0","2280.23","0","2","0","0","0","0","0","0","1","0","0","Sent","1443","Signed OCP","19832","Paid\"
"Local Market","2022-07-03","Morocco","LAT KRABANG","Container","GREEFOS","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Neutre","100","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","90","690","44","40","1743","258","IPSEN","GAMMA","Inspectorate","MAERSK","MAERSK","2022-04-15","605","2022-11-30","27","33","237739812","2022-06-18","30","2022-12-25","550","2022-12-25","","40' Dry","CASABLANCA","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
"Asia","2022-10-04","Nigeria","BUENOS AIRES","Container","CPF (Thailand) Public Company Limited","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","4400","22","CFR","Invoiced","CONFIRMED","CAD","0","690","25","0","1435","259","ONCF","SEALAND","Inspectorate","SEALAND","MAERSK","2022-08-17","1320","2022-08-29","33","0","0","0000-00-00","0","2022-06-23","550","2022-09-23","","20'","TANGER","116","0","0","2","84.91","0","0","0","0","3","0","0","0","Sent","1398","Draft","19832","Paid\"
"Africa","2022-07-03","Morocco","LAGOS","Vessel","ALF AMMAR","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","100","22","CFR","Deal concluded","CONFIRMED","L/C","90","610","25","37","1772","260","ONCF","HAPAG LLOYD","Inspectorate","CMA CGM","HAPAG LLOYD","2022-08-17","1320","2022-05-29","33","0","237739812","2022-06-18","25","0000-00-00","4434","0000-00-00","","","CASABLANCA","137986.14","2280.23","0","0","84.91","0","0","0","0","3","0","0","0","Sent","1382","Signed Customer","19423","Paid\"
"Local Market","2022-07-03","Argentina","LAT KRABANG","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","550","20","CFR","Invoiced","CONFIRMED","L/C","90","780","20","37","1743","261","IPSEN","MAERSK","Inspectorate","HAPAG LLOYD","CMA CGM","2022-11-18","605","2022-08-29","19","36","0","0000-00-00","0","2022-09-23","4434","0000-00-00","","","TANGER","119178.58","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1443","Signed OCP","18732","Paid\"
"Africa","2022-07-03","Morocco","","Container","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","20","CIF","Invoiced","CONFIRMED","D/A","90","780","0","40","1634","262","ONCF","SEALAND","Inspectorate","MAERSK","MAERSK","2022-11-18","484","2022-08-29","40","0","0","0000-00-00","60","2022-06-23","1200","2022-12-25","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1443","Draft","18452","Paid\"
"Africa","2022-10-05","Argentina","","Vessel","CPF (Thailand) Public Company Limited","CP Group","DCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Finalized","CONFIRMED","Cable bank transfer","45","610","44","37","1435","263","IPSEN","HAPAG LLOYD","Inspectorate","HAPAG LLOYD","MAERSK","2022-11-18","1320","2022-11-30","40","40","0","2022-09-18","15","2022-06-23","1200","2022-12-25","","","TANGER","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","19423","Paid\"
"Europe","2022-07-03","Nigeria","LAGOS","Truck","ESIFAR","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Phosfeed","1200","22","CIF","Finalized","CONFIRMED","L/C","0","610","20","35","1634","264","IPSEN","HAPAG LLOYD","Inspectorate","HAPAG LLOYD","SEALAND","2022-11-19","484","2022-04-27","33","40","0","2022-09-18","25","2022-09-23","440","2022-12-25","","","TANGER","0","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18452","Paid\"
"Americas","2022-10-05","Argentina","THESSALONIKI","Vessel","Vial/Vitafort","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","EXW","Deal concluded","CONFIRMED","Cable bank transfer","15","730","44","0","1772","265","IPSEN","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-08-17","605","2022-04-27","27","38","1236876312","2022-06-18","30","0000-00-00","100","2022-05-22","","20'","CASABLANCA","116","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19832","Paid\"
"Europe","2022-03-01","Argentina","LAGOS","Vessel","GREEFOS","Vial/Vitafort","DCP","0","1 pallet per 2 BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","CAD","45","740","44","35","1435","266","IPSEN","HAPAG LLOYD","Inspectorate","BDP","SEALAND","2022-11-18","4840","2022-08-29","0","33","0","0000-00-00","30","2022-09-23","100","2022-12-25","","40' Dry","TANGER","137986.14","2280.23","0","0","0","0","0","0","0","3","0","0","0","Sent","1382","Draft","19832","Paid\"
"Africa","2022-04-02","Argentina","BUENOS AIRES","Container","Vial/Vitafort","CP Group","MDCP","0","1 pallet per BB","Neutre","550","20","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","0","780","44","40","1634","267","ONCF","MAERSK","Inspectorate","MAERSK","HAPAG LLOYD","2022-04-15","1320","2022-11-30","33","38","0","2022-09-18","25","2022-06-23","1200","2022-09-23","","40' Dry","JORF LASFAR","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","19832","Paid\"
"Europe","2022-10-04","Thailand","LAT KRABANG","Container","ALF AMMAR","GREEFOS","MDCP","0","1 pallet per 2 BB","Neutre","1200","22","CIF","Delivery in progress","CONFIRMED","Cable bank transfer","45","740","30","37","1843","268","ONCF","MAERSK","Inspectorate","BDP","MAERSK","2022-11-19","4840","2022-05-29","27","40","0","2022-09-18","25","0000-00-00","440","0000-00-00","","20'","TANGER","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","19423","Paid\"
"Europe","2022-10-05","Nigeria","BUENOS AIRES","Container","GREEFOS","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Invoiced","CONFIRMED","Cable bank transfer","15","740","30","37","1843","269","IPSEN","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-05-17","110","2022-08-29","33","33","1236876312","2022-05-17","15","2022-05-22","100","2022-12-25","","40' Dry","JORF LASFAR","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","19832","Paid\"
"Americas","2022-10-05","Argentina","","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","550","22","CFR","Invoiced","CONFIRMED","CAD","15","730","0","37","1772","270","IPSEN","MAERSK","Inspectorate","CMA CGM","MAERSK","2022-11-18","4840","2022-05-29","27","38","0","0000-00-00","25","0000-00-00","100","2022-09-23","","","TANGER","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1383","Signed Customer","18732","Paid\"
