did,Region,Status,Status II,Volume per container,Estimated Freight,Country,Discharging Port,Type TC,Delivery Mode,Avis de Chargement status,Fret réel,Transit time,Supplier,Shipped Via,Shipping Line ,PORT LOADING,Transporter,1/2 jours,1 JOURS,2 JOURS,3 JOURS
149,Local Market,Delivery in progress,CONFIRMED,22,0,Thailand,BUENOS AIRES,40' Dry,Truck,Sent,0,30.0,IPSEN,CMA CGM,SEALAND,CASABLANCA,HAPAG LLOYD,,,,0.0
150,Americas,Deal concluded,CONFIRMED,22,30,Greece,LAGOS,40' Dry,Vessel,Sent,27,15.0,SVN,MAERSK,HAPAG LLOYD,JORF LASFAR,GAMMA,,1.0,,
151,Asia,Deal concluded,CONFIRMED,22,20,Greece,BUENOS AIRES,,Container,Sent,0,15.0,IPSEN,MAERSK,SEALAND,CASABLANCA,MAERSK,,,0.0,0.0
152,Asia,Delivery in progress,CONFIRMED,25,0,Argentina,LAT KRABANG,40' Dry,Truck,Sent,0,15.0,SVN,MAERSK,CMA CGM,,HAPAG LLOYD,,,,
153,Local Market,Deal concluded,CONFIRMED,25,44,Argentina,,,Vessel,Sent,0,,IPSEN,MAERSK,SEALAND,CASABLANCA,GAMMA,,,,
154,Asia,Invoiced,CONFIRMED,25,0,Thailand,LAT KRABANG,20',Truck,Sent,33,,IPSEN,MAERSK,CMA CGM,CASABLANCA,CMA CGM,,,,
155,Americas,Delivery in progress,CONFIRMED,20,0,Thailand,,20',Container,Sent,40,60.0,IPSEN,MAERSK,BDP,TANGER,MAERSK,3.0,1.0,,
156,Americas,Deal concluded,CONFIRMED,20,30,Argentina,BUENOS AIRES,,Container,Sent,27,,IPSEN,MAERSK,SEALAND,CASABLANCA,SEALAND,,,,
157,Europe,Invoiced,CONFIRMED,20,0,Greece,,20',Container,Sent,33,25.0,IPSEN,CMA CGM,MAERSK,CASABLANCA,SEALAND,,,,0.0
158,Europe,Deal concluded,CONFIRMED,25,30,Nigeria,LAT KRABANG,20',Container,Sent,0,,SVN,MAERSK,MAERSK,TANGER,SEALAND,3.0,,,0.0
159,Asia,Delivery in progress,CONFIRMED,25,20,Argentina,BUENOS AIRES,20',Container,Sent,33,15.0,ONCF,HAPAG LLOYD,CMA CGM,JORF LASFAR,SEALAND,,1.0,0.0,
160,Local Market,Delivery in progress,CONFIRMED,25,20,Nigeria,,40' Dry,Container,Sent,33,60.0,SVN,SEALAND,CMA CGM,,CMA CGM,,,,
161,Americas,Invoiced,CONFIRMED,20,30,Argentina,THESSALONIKI,40' Dry,Container,Sent,0,,SVN,MAERSK,MAERSK,TANGER,HAPAG LLOYD,,,,0.0
162,Local Market,Invoiced,CONFIRMED,22,44,Argentina,LAT KRABANG,20',Truck,Sent,33,,IPSEN,SEALAND,HAPAG LLOYD,,HAPAG LLOYD,,,,0.0
163,Americas,Delivery in progress,CONFIRMED,25,44,Morocco,THESSALONIKI,,Vessel,Sent,40,60.0,IPSEN,SEALAND,SEALAND,,GAMMA,3.0,,0.0,
164,Europe,Deal concluded,CONFIRMED,20,20,Greece,THESSALONIKI,,Vessel,Sent,0,60.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,0.0
165,Asia,Finalized,CONFIRMED,22,0,Morocco,,,Truck,Sent,40,25.0,SVN,MAERSK,MAERSK,CASABLANCA,MAERSK,,,,
166,Europe,Deal concluded,CONFIRMED,20,30,Argentina,THESSALONIKI,,Container,Sent,27,15.0,IPSEN,MAERSK,CMA CGM,CASABLANCA,CMA CGM,,,,
167,Europe,Finalized,CONFIRMED,22,20,Thailand,LAGOS,20',Truck,Sent,0,60.0,ONCF,CMA CGM,HAPAG LLOYD,TANGER,MAERSK,,1.0,,
168,Americas,Finalized,CONFIRMED,25,20,Argentina,LAGOS,20',Vessel,Sent,40,,SVN,MAERSK,BDP,JORF LASFAR,SEALAND,,,,
169,Africa,Delivery in progress,CONFIRMED,22,30,Morocco,BUENOS AIRES,,Container,Sent,33,15.0,ONCF,MAERSK,CMA CGM,CASABLANCA,SEALAND,,,,
170,Americas,Finalized,CONFIRMED,20,44,Nigeria,BUENOS AIRES,,Truck,Sent,19,60.0,ONCF,CMA CGM,CMA CGM,TANGER,HAPAG LLOYD,3.0,,,
171,Local Market,Delivery in progress,CONFIRMED,22,25,Greece,BUENOS AIRES,40' Dry,Vessel,Sent,40,15.0,SVN,MAERSK,MAERSK,CASABLANCA,SEALAND,3.0,,,0.0
172,Local Market,Delivery in progress,CONFIRMED,22,25,Greece,BUENOS AIRES,,Container,Sent,40,15.0,SVN,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,,,
173,Africa,Delivery in progress,CONFIRMED,20,20,Thailand,LAT KRABANG,,Vessel,Sent,40,60.0,IPSEN,SEALAND,BDP,CASABLANCA,GAMMA,,,,
174,Europe,Delivery in progress,CONFIRMED,22,30,Thailand,BUENOS AIRES,20',Vessel,Sent,19,60.0,ONCF,HAPAG LLOYD,MAERSK,CASABLANCA,HAPAG LLOYD,,1.0,,
175,Europe,Delivery in progress,CONFIRMED,25,25,Thailand,,20',Container,Sent,19,30.0,IPSEN,MAERSK,SEALAND,JORF LASFAR,GAMMA,,1.0,,
176,Asia,Deal concluded,CONFIRMED,22,30,Thailand,LAGOS,20',Truck,Sent,19,25.0,ONCF,SEALAND,HAPAG LLOYD,CASABLANCA,MAERSK,3.0,,0.0,0.0
177,Americas,Deal concluded,CONFIRMED,22,44,Nigeria,LAGOS,20',Container,Sent,19,15.0,SVN,SEALAND,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,3.0,1.0,,
178,Asia,Invoiced,CONFIRMED,20,20,Nigeria,LAGOS,40' Dry,Vessel,Sent,0,25.0,ONCF,HAPAG LLOYD,BDP,,SEALAND,,,,0.0
179,Africa,Invoiced,CONFIRMED,20,44,Nigeria,THESSALONIKI,,Truck,Sent,33,,ONCF,MAERSK,MAERSK,JORF LASFAR,HAPAG LLOYD,,,,0.0
180,Local Market,Delivery in progress,CONFIRMED,25,25,Morocco,,40' Dry,Vessel,Sent,19,15.0,ONCF,SEALAND,SEALAND,TANGER,GAMMA,,,,0.0
181,Europe,Finalized,CONFIRMED,22,0,Morocco,BUENOS AIRES,40' Dry,Vessel,Sent,0,30.0,IPSEN,HAPAG LLOYD,SEALAND,TANGER,GAMMA,,,,
182,Europe,Finalized,CONFIRMED,22,30,Thailand,,20',Container,Sent,27,15.0,IPSEN,CMA CGM,MAERSK,JORF LASFAR,SEALAND,,1.0,,
183,Local Market,Deal concluded,CONFIRMED,22,20,Morocco,BUENOS AIRES,20',Vessel,Sent,27,60.0,IPSEN,MAERSK,MAERSK,JORF LASFAR,CMA CGM,,1.0,0.0,
184,Europe,Deal concluded,CONFIRMED,22,30,Greece,,,Vessel,Sent,19,,SVN,HAPAG LLOYD,SEALAND,CASABLANCA,MAERSK,,1.0,,
185,Americas,Finalized,CONFIRMED,20,44,Argentina,THESSALONIKI,,Container,Sent,0,25.0,ONCF,HAPAG LLOYD,MAERSK,TANGER,HAPAG LLOYD,,,0.0,
186,Local Market,Finalized,CONFIRMED,22,44,Thailand,,40' Dry,Container,Sent,19,15.0,IPSEN,MAERSK,SEALAND,CASABLANCA,CMA CGM,,1.0,,0.0
187,Europe,Deal concluded,CONFIRMED,25,30,Argentina,BUENOS AIRES,20',Container,Sent,40,25.0,SVN,SEALAND,SEALAND,TANGER,HAPAG LLOYD,3.0,,,0.0
188,Africa,Finalized,CONFIRMED,22,25,Argentina,,20',Container,Sent,40,15.0,SVN,MAERSK,HAPAG LLOYD,CASABLANCA,MAERSK,,1.0,,
189,Asia,Invoiced,CONFIRMED,25,30,Argentina,THESSALONIKI,,Truck,Sent,33,,ONCF,SEALAND,CMA CGM,JORF LASFAR,CMA CGM,,,,
190,Americas,Invoiced,CONFIRMED,20,20,Argentina,LAT KRABANG,,Container,Sent,0,25.0,SVN,SEALAND,HAPAG LLOYD,TANGER,CMA CGM,3.0,,0.0,
191,Europe,Deal concluded,CONFIRMED,22,0,Thailand,,40' Dry,Container,Sent,33,25.0,IPSEN,MAERSK,CMA CGM,JORF LASFAR,HAPAG LLOYD,3.0,,,
192,Local Market,Delivery in progress,CONFIRMED,20,25,Morocco,LAGOS,20',Truck,Sent,33,60.0,IPSEN,MAERSK,BDP,TANGER,GAMMA,,,,
193,Africa,Deal concluded,CONFIRMED,25,20,Argentina,LAGOS,20',Container,Sent,33,25.0,IPSEN,SEALAND,CMA CGM,TANGER,HAPAG LLOYD,,,0.0,
194,Americas,Delivery in progress,CONFIRMED,22,30,Thailand,THESSALONIKI,40' Dry,Container,Sent,40,,IPSEN,HAPAG LLOYD,SEALAND,TANGER,GAMMA,,1.0,,
195,Americas,Deal concluded,CONFIRMED,22,25,Morocco,,20',Vessel,Sent,33,25.0,IPSEN,HAPAG LLOYD,SEALAND,TANGER,SEALAND,3.0,,,
196,Europe,Deal concluded,CONFIRMED,22,30,Nigeria,LAT KRABANG,40' Dry,Vessel,Sent,19,60.0,IPSEN,HAPAG LLOYD,SEALAND,JORF LASFAR,MAERSK,3.0,,0.0,
197,Asia,Invoiced,CONFIRMED,22,44,Thailand,THESSALONIKI,20',Truck,Sent,27,15.0,IPSEN,MAERSK,SEALAND,,GAMMA,3.0,,,
198,Africa,Invoiced,CONFIRMED,20,30,Nigeria,THESSALONIKI,20',Container,Sent,40,60.0,ONCF,MAERSK,SEALAND,JORF LASFAR,SEALAND,3.0,,,
199,Europe,Deal concluded,CONFIRMED,25,25,Argentina,LAGOS,20',Container,Sent,40,30.0,IPSEN,MAERSK,MAERSK,TANGER,HAPAG LLOYD,,1.0,0.0,
200,Americas,Deal concluded,CONFIRMED,25,30,Greece,THESSALONIKI,40' Dry,Truck,Sent,27,25.0,SVN,MAERSK,HAPAG LLOYD,,MAERSK,,,,
201,Local Market,Finalized,CONFIRMED,20,20,Morocco,LAGOS,40' Dry,Vessel,Sent,19,60.0,IPSEN,CMA CGM,HAPAG LLOYD,,MAERSK,3.0,,0.0,
202,Asia,Delivery in progress,CONFIRMED,20,44,Greece,LAT KRABANG,40' Dry,Container,Sent,33,60.0,IPSEN,SEALAND,HAPAG LLOYD,CASABLANCA,CMA CGM,3.0,,,0.0
203,Americas,Finalized,CONFIRMED,25,25,Thailand,LAT KRABANG,,Vessel,Sent,33,,ONCF,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,SEALAND,,,,
204,Africa,Finalized,CONFIRMED,22,44,Morocco,LAT KRABANG,20',Vessel,Sent,27,30.0,IPSEN,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,,,
205,Americas,Deal concluded,CONFIRMED,22,30,Morocco,,40' Dry,Container,Sent,19,30.0,IPSEN,MAERSK,BDP,CASABLANCA,MAERSK,,,,
206,Asia,Deal concluded,CONFIRMED,22,20,Argentina,THESSALONIKI,20',Truck,Sent,19,25.0,IPSEN,SEALAND,BDP,TANGER,MAERSK,,,,0.0
207,Americas,Deal concluded,CONFIRMED,22,44,Thailand,BUENOS AIRES,20',Truck,Sent,40,60.0,SVN,HAPAG LLOYD,CMA CGM,TANGER,HAPAG LLOYD,,,,
208,Africa,Delivery in progress,CONFIRMED,25,0,Argentina,LAGOS,20',Container,Sent,0,60.0,SVN,MAERSK,CMA CGM,,CMA CGM,,,,
209,Local Market,Finalized,CONFIRMED,20,0,Morocco,LAGOS,20',Vessel,Sent,19,15.0,SVN,MAERSK,CMA CGM,,MAERSK,3.0,,,0.0
210,Asia,Deal concluded,CONFIRMED,20,0,Morocco,BUENOS AIRES,,Truck,Sent,33,25.0,IPSEN,MAERSK,MAERSK,,HAPAG LLOYD,,,,
211,Americas,Finalized,CONFIRMED,20,30,Nigeria,LAT KRABANG,20',Container,Sent,27,15.0,SVN,MAERSK,MAERSK,CASABLANCA,SEALAND,,,0.0,0.0
212,Europe,Delivery in progress,CONFIRMED,22,25,Thailand,BUENOS AIRES,,Truck,Sent,0,15.0,ONCF,CMA CGM,HAPAG LLOYD,CASABLANCA,GAMMA,,,0.0,
213,Africa,Deal concluded,CONFIRMED,20,25,Greece,BUENOS AIRES,,Container,Sent,19,30.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,,CMA CGM,,1.0,,
214,Africa,Invoiced,CONFIRMED,20,30,Greece,LAGOS,20',Truck,Sent,27,,SVN,HAPAG LLOYD,HAPAG LLOYD,TANGER,HAPAG LLOYD,,,,
215,Local Market,Invoiced,CONFIRMED,22,0,Nigeria,LAGOS,20',Truck,Sent,40,,SVN,HAPAG LLOYD,BDP,JORF LASFAR,GAMMA,3.0,,,
216,Asia,Finalized,CONFIRMED,22,25,Argentina,LAGOS,20',Container,Sent,27,30.0,IPSEN,SEALAND,BDP,CASABLANCA,GAMMA,,,,0.0
217,Africa,Delivery in progress,CONFIRMED,25,0,Greece,LAGOS,20',Container,Sent,27,60.0,IPSEN,HAPAG LLOYD,MAERSK,,GAMMA,,,,0.0
218,Asia,Deal concluded,CONFIRMED,20,0,Morocco,LAT KRABANG,20',Container,Sent,40,15.0,IPSEN,MAERSK,BDP,JORF LASFAR,MAERSK,,,,
219,Africa,Finalized,CONFIRMED,22,25,Morocco,LAT KRABANG,20',Container,Sent,0,60.0,SVN,MAERSK,BDP,,HAPAG LLOYD,,,,
220,Local Market,Delivery in progress,CONFIRMED,22,30,Thailand,BUENOS AIRES,,Container,Sent,27,30.0,IPSEN,HAPAG LLOYD,BDP,CASABLANCA,MAERSK,,,,
221,Europe,Invoiced,CONFIRMED,25,0,Nigeria,,40' Dry,Vessel,Sent,19,15.0,SVN,CMA CGM,BDP,CASABLANCA,HAPAG LLOYD,,,,
222,Asia,Deal concluded,CONFIRMED,20,44,Morocco,,20',Vessel,Sent,33,15.0,SVN,MAERSK,HAPAG LLOYD,JORF LASFAR,CMA CGM,,,0.0,
223,Local Market,Deal concluded,CONFIRMED,25,30,Argentina,,40' Dry,Vessel,Sent,0,30.0,ONCF,MAERSK,MAERSK,,HAPAG LLOYD,,,,0.0
224,Local Market,Deal concluded,CONFIRMED,20,30,Nigeria,,20',Vessel,Sent,40,,SVN,MAERSK,SEALAND,TANGER,HAPAG LLOYD,,,,
225,Africa,Deal concluded,CONFIRMED,20,20,Greece,LAT KRABANG,20',Vessel,Sent,19,,IPSEN,HAPAG LLOYD,SEALAND,CASABLANCA,SEALAND,,,,
226,Africa,Delivery in progress,CONFIRMED,20,44,Nigeria,LAGOS,20',Container,Sent,27,,SVN,CMA CGM,BDP,CASABLANCA,GAMMA,,,,
227,Americas,Deal concluded,CONFIRMED,22,0,Argentina,BUENOS AIRES,20',Container,Sent,19,,SVN,SEALAND,SEALAND,TANGER,HAPAG LLOYD,,,,
228,Americas,Delivery in progress,CONFIRMED,22,44,Nigeria,LAGOS,20',Container,Sent,27,15.0,SVN,MAERSK,BDP,CASABLANCA,HAPAG LLOYD,,,,
229,Americas,Invoiced,CONFIRMED,22,30,Morocco,LAT KRABANG,,Container,Sent,27,60.0,IPSEN,HAPAG LLOYD,CMA CGM,CASABLANCA,SEALAND,,,,
230,Asia,Delivery in progress,CONFIRMED,25,25,Thailand,,20',Truck,Sent,19,15.0,IPSEN,MAERSK,SEALAND,TANGER,GAMMA,,,,
231,Asia,Deal concluded,CONFIRMED,20,0,Argentina,LAGOS,20',Container,Sent,27,15.0,ONCF,MAERSK,MAERSK,JORF LASFAR,MAERSK,,,,
232,Asia,Deal concluded,CONFIRMED,20,0,Nigeria,BUENOS AIRES,20',Container,Sent,0,,ONCF,MAERSK,SEALAND,CASABLANCA,HAPAG LLOYD,,,,0.0
233,Europe,Deal concluded,CONFIRMED,25,25,Greece,BUENOS AIRES,20',Truck,Sent,27,60.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
234,Local Market,Deal concluded,CONFIRMED,22,44,Morocco,BUENOS AIRES,20',Vessel,Sent,40,,IPSEN,SEALAND,HAPAG LLOYD,JORF LASFAR,GAMMA,3.0,,,0.0
235,Americas,Deal concluded,CONFIRMED,22,30,Greece,LAGOS,40' Dry,Container,Sent,40,60.0,SVN,MAERSK,BDP,CASABLANCA,GAMMA,3.0,,,
236,Africa,Deal concluded,CONFIRMED,20,30,Argentina,LAGOS,,Container,Sent,27,30.0,SVN,SEALAND,SEALAND,CASABLANCA,HAPAG LLOYD,,1.0,,
237,Local Market,Deal concluded,CONFIRMED,22,20,Thailand,,20',Container,Sent,19,30.0,SVN,MAERSK,SEALAND,JORF LASFAR,GAMMA,,,,
238,Africa,Invoiced,CONFIRMED,25,0,Nigeria,THESSALONIKI,20',Truck,Sent,33,30.0,SVN,MAERSK,MAERSK,CASABLANCA,CMA CGM,,,,
239,Europe,Invoiced,CONFIRMED,25,20,Morocco,LAT KRABANG,20',Container,Sent,33,,IPSEN,HAPAG LLOYD,BDP,,SEALAND,,,,
240,Africa,Deal concluded,CONFIRMED,20,25,Morocco,LAT KRABANG,40' Dry,Container,Sent,33,25.0,IPSEN,SEALAND,BDP,CASABLANCA,CMA CGM,,,,
241,Americas,Invoiced,CONFIRMED,20,44,Argentina,LAGOS,20',Container,Sent,19,30.0,IPSEN,HAPAG LLOYD,CMA CGM,JORF LASFAR,CMA CGM,,,0.0,0.0
242,Africa,Deal concluded,CONFIRMED,25,0,Argentina,LAGOS,,Container,Sent,27,25.0,SVN,CMA CGM,MAERSK,TANGER,MAERSK,,,,
243,Asia,Deal concluded,CONFIRMED,20,20,Morocco,LAT KRABANG,20',Vessel,Sent,19,60.0,IPSEN,HAPAG LLOYD,SEALAND,,HAPAG LLOYD,,1.0,,
244,Americas,Finalized,CONFIRMED,22,20,Nigeria,LAGOS,20',Container,Sent,0,,IPSEN,MAERSK,BDP,JORF LASFAR,SEALAND,,,0.0,
245,Africa,Invoiced,CONFIRMED,20,44,Morocco,LAT KRABANG,20',Container,Sent,19,30.0,IPSEN,HAPAG LLOYD,BDP,CASABLANCA,SEALAND,,1.0,0.0,
246,Asia,Invoiced,CONFIRMED,22,25,Greece,THESSALONIKI,20',Truck,Sent,27,30.0,SVN,SEALAND,MAERSK,,CMA CGM,,,,
247,Local Market,Deal concluded,CONFIRMED,22,30,Morocco,,,Container,Sent,33,15.0,IPSEN,MAERSK,BDP,TANGER,CMA CGM,,1.0,,0.0
248,Africa,Finalized,CONFIRMED,20,30,Nigeria,THESSALONIKI,20',Truck,Sent,40,30.0,SVN,MAERSK,CMA CGM,,CMA CGM,,,,
249,Africa,Invoiced,CONFIRMED,25,0,Argentina,,40' Dry,Container,Sent,0,,SVN,MAERSK,MAERSK,,MAERSK,,,,
250,Africa,Invoiced,CONFIRMED,22,44,Argentina,THESSALONIKI,,Vessel,Sent,33,15.0,SVN,MAERSK,BDP,TANGER,HAPAG LLOYD,,,,
251,Europe,Finalized,CONFIRMED,22,0,Thailand,LAT KRABANG,20',Truck,Sent,33,15.0,SVN,MAERSK,SEALAND,CASABLANCA,SEALAND,,,,
252,Asia,Invoiced,CONFIRMED,20,20,Morocco,THESSALONIKI,20',Container,Sent,0,,SVN,MAERSK,CMA CGM,CASABLANCA,SEALAND,,,,0.0
253,Europe,Invoiced,CONFIRMED,20,30,Morocco,LAT KRABANG,20',Vessel,Sent,0,,IPSEN,MAERSK,HAPAG LLOYD,,GAMMA,3.0,,,
254,Europe,Delivery in progress,CONFIRMED,22,44,Nigeria,BUENOS AIRES,20',Truck,Sent,40,25.0,SVN,MAERSK,MAERSK,JORF LASFAR,MAERSK,,,,
255,Americas,Deal concluded,CONFIRMED,25,0,Nigeria,THESSALONIKI,20',Container,Sent,0,30.0,SVN,SEALAND,SEALAND,CASABLANCA,HAPAG LLOYD,,1.0,,
256,Americas,Deal concluded,CONFIRMED,22,25,Nigeria,BUENOS AIRES,40' Dry,Container,Sent,40,15.0,ONCF,SEALAND,SEALAND,TANGER,GAMMA,,,,0.0
257,Local Market,Invoiced,CONFIRMED,20,44,Morocco,LAGOS,,Vessel,Sent,27,30.0,SVN,HAPAG LLOYD,SEALAND,TANGER,CMA CGM,,1.0,,
258,Asia,Invoiced,CONFIRMED,22,0,Nigeria,,40' Dry,Container,Sent,19,60.0,ONCF,CMA CGM,HAPAG LLOYD,,GAMMA,,,,
259,Local Market,Invoiced,CONFIRMED,22,25,Greece,LAT KRABANG,,Container,Sent,33,60.0,IPSEN,MAERSK,MAERSK,CASABLANCA,GAMMA,,,,0.0
260,Africa,Deal concluded,CONFIRMED,20,0,Thailand,BUENOS AIRES,,Truck,Sent,27,15.0,ONCF,MAERSK,BDP,CASABLANCA,SEALAND,,,,
261,Americas,Delivery in progress,CONFIRMED,20,20,Argentina,THESSALONIKI,20',Truck,Sent,0,25.0,SVN,MAERSK,CMA CGM,TANGER,CMA CGM,3.0,1.0,,
262,Africa,Delivery in progress,CONFIRMED,20,30,Thailand,LAT KRABANG,40' Dry,Container,Sent,40,60.0,SVN,MAERSK,CMA CGM,CASABLANCA,HAPAG LLOYD,,,,
263,Europe,Invoiced,CONFIRMED,25,25,Morocco,LAT KRABANG,20',Container,Sent,40,30.0,ONCF,CMA CGM,HAPAG LLOYD,,HAPAG LLOYD,,1.0,,
264,Local Market,Delivery in progress,CONFIRMED,25,25,Morocco,THESSALONIKI,20',Container,Sent,19,25.0,IPSEN,CMA CGM,BDP,CASABLANCA,CMA CGM,,,0.0,
265,Americas,Finalized,CONFIRMED,20,44,Greece,LAGOS,40' Dry,Truck,Sent,33,25.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,,CMA CGM,,,,
266,Local Market,Deal concluded,CONFIRMED,20,20,Thailand,BUENOS AIRES,20',Container,Sent,19,30.0,ONCF,SEALAND,HAPAG LLOYD,CASABLANCA,SEALAND,,1.0,,
267,Asia,Deal concluded,CONFIRMED,20,0,Thailand,BUENOS AIRES,40' Dry,Vessel,Sent,27,15.0,ONCF,HAPAG LLOYD,MAERSK,,GAMMA,,,,
268,Local Market,Finalized,CONFIRMED,22,25,Greece,LAGOS,20',Container,Sent,0,25.0,IPSEN,MAERSK,CMA CGM,JORF LASFAR,GAMMA,,,,
269,Americas,Deal concluded,CONFIRMED,22,0,Argentina,,20',Truck,Sent,40,30.0,IPSEN,MAERSK,SEALAND,,CMA CGM,3.0,,,
270,Europe,Deal concluded,CONFIRMED,20,0,Thailand,THESSALONIKI,20',Vessel,Sent,40,30.0,IPSEN,MAERSK,MAERSK,CASABLANCA,SEALAND,,,,
271,Local Market,Delivery in progress,CONFIRMED,20,0,Thailand,LAGOS,20',Container,Sent,27,60.0,IPSEN,MAERSK,BDP,CASABLANCA,SEALAND,,,0.0,
272,Asia,Deal concluded,CONFIRMED,20,25,Argentina,LAT KRABANG,,Vessel,Sent,40,60.0,ONCF,SEALAND,MAERSK,CASABLANCA,SEALAND,,1.0,,
273,Asia,Delivery in progress,CONFIRMED,22,30,Argentina,THESSALONIKI,,Truck,Sent,19,25.0,ONCF,CMA CGM,BDP,CASABLANCA,CMA CGM,,,,
274,Africa,Deal concluded,CONFIRMED,20,30,Greece,,,Container,Sent,27,30.0,SVN,MAERSK,SEALAND,JORF LASFAR,HAPAG LLOYD,3.0,1.0,,
275,Africa,Delivery in progress,CONFIRMED,25,0,Nigeria,LAT KRABANG,40' Dry,Container,Sent,0,15.0,IPSEN,CMA CGM,BDP,,HAPAG LLOYD,,,,
276,Americas,Finalized,CONFIRMED,22,0,Greece,BUENOS AIRES,20',Vessel,Sent,27,15.0,ONCF,CMA CGM,CMA CGM,,MAERSK,3.0,1.0,,0.0
277,Local Market,Finalized,CONFIRMED,20,30,Nigeria,BUENOS AIRES,40' Dry,Container,Sent,33,25.0,SVN,CMA CGM,BDP,CASABLANCA,HAPAG LLOYD,3.0,,,
278,Africa,Finalized,CONFIRMED,22,20,Thailand,,20',Container,Sent,0,25.0,ONCF,MAERSK,SEALAND,CASABLANCA,CMA CGM,,1.0,,0.0
279,Europe,Invoiced,CONFIRMED,20,44,Greece,,20',Truck,Sent,27,30.0,IPSEN,MAERSK,CMA CGM,JORF LASFAR,SEALAND,,,,
280,Local Market,Deal concluded,CONFIRMED,22,20,Morocco,THESSALONIKI,40' Dry,Vessel,Sent,27,30.0,IPSEN,SEALAND,MAERSK,,MAERSK,,,,
281,Europe,Delivery in progress,CONFIRMED,22,25,Morocco,BUENOS AIRES,20',Container,Sent,19,,SVN,MAERSK,HAPAG LLOYD,CASABLANCA,SEALAND,,,0.0,
282,Americas,Deal concluded,CONFIRMED,22,20,Argentina,LAGOS,20',Truck,Sent,40,30.0,SVN,HAPAG LLOYD,MAERSK,CASABLANCA,SEALAND,,,,0.0
283,Africa,Deal concluded,CONFIRMED,22,30,Nigeria,,20',Truck,Sent,19,15.0,SVN,SEALAND,CMA CGM,CASABLANCA,SEALAND,,,,
284,Local Market,Deal concluded,CONFIRMED,25,0,Argentina,,20',Truck,Sent,27,,IPSEN,SEALAND,BDP,TANGER,HAPAG LLOYD,,,,0.0
285,Local Market,Invoiced,CONFIRMED,20,0,Argentina,LAGOS,20',Container,Sent,0,,SVN,HAPAG LLOYD,SEALAND,,SEALAND,3.0,,0.0,
286,Asia,Finalized,CONFIRMED,25,0,Morocco,THESSALONIKI,20',Container,Sent,27,15.0,SVN,SEALAND,CMA CGM,TANGER,SEALAND,,,,0.0
287,Africa,Deal concluded,CONFIRMED,22,20,Thailand,LAT KRABANG,20',Truck,Sent,27,30.0,SVN,MAERSK,BDP,,SEALAND,,,,0.0
288,Asia,Deal concluded,CONFIRMED,22,0,Argentina,BUENOS AIRES,20',Vessel,Sent,40,,SVN,MAERSK,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,3.0,,0.0,
289,Africa,Deal concluded,CONFIRMED,22,25,Thailand,,,Container,Sent,33,60.0,SVN,CMA CGM,CMA CGM,CASABLANCA,HAPAG LLOYD,,,0.0,
290,Europe,Deal concluded,CONFIRMED,20,30,Greece,LAGOS,20',Container,Sent,27,30.0,ONCF,CMA CGM,HAPAG LLOYD,JORF LASFAR,GAMMA,,,,
291,Asia,Delivery in progress,CONFIRMED,20,25,Thailand,,20',Container,Sent,40,25.0,IPSEN,MAERSK,CMA CGM,CASABLANCA,SEALAND,,,,
292,Local Market,Finalized,CONFIRMED,22,44,Argentina,LAT KRABANG,20',Truck,Sent,0,25.0,IPSEN,HAPAG LLOYD,SEALAND,CASABLANCA,MAERSK,,,0.0,
293,Europe,Delivery in progress,CONFIRMED,22,30,Argentina,LAGOS,20',Vessel,Sent,33,15.0,ONCF,SEALAND,HAPAG LLOYD,TANGER,CMA CGM,3.0,,,
294,Africa,Deal concluded,CONFIRMED,22,44,Morocco,LAGOS,20',Vessel,Sent,19,25.0,ONCF,SEALAND,MAERSK,JORF LASFAR,CMA CGM,,,,0.0
295,Americas,Deal concluded,CONFIRMED,25,25,Argentina,BUENOS AIRES,20',Truck,Sent,0,60.0,ONCF,MAERSK,BDP,,GAMMA,,,,
296,Africa,Invoiced,CONFIRMED,20,44,Argentina,LAGOS,40' Dry,Container,Sent,19,30.0,ONCF,HAPAG LLOYD,MAERSK,TANGER,SEALAND,,,,0.0
297,Americas,Deal concluded,CONFIRMED,22,20,Thailand,,,Container,Sent,33,,IPSEN,MAERSK,SEALAND,TANGER,GAMMA,,,,
298,Africa,Deal concluded,CONFIRMED,22,30,Nigeria,LAGOS,,Container,Sent,27,60.0,ONCF,SEALAND,BDP,TANGER,GAMMA,,,,
299,Local Market,Invoiced,CONFIRMED,22,44,Greece,BUENOS AIRES,,Container,Sent,19,15.0,ONCF,SEALAND,BDP,,CMA CGM,,,,
300,Americas,Delivery in progress,CONFIRMED,25,25,Argentina,LAT KRABANG,40' Dry,Container,Sent,0,15.0,IPSEN,HAPAG LLOYD,MAERSK,,GAMMA,,,,
